day,average_speed,average_size,average_intelligence
486,24.523086736612274,1.0043529979789219,4.145059344244736
487,24.771792438745656,1.0033515846572871,4.222308841937094
488,24.53972522182104,0.9825925008532185,4.271289537809857
489,24.608309315284792,1.0065471984970877,4.200712354555299
490,24.742256412832646,1.0050015817165536,4.250461134237985
491,24.903629104659643,1.0051061926877165,4.158226461606897
492,25.223080768175308,1.0089899915749458,4.223341038524316
493,26.0161976481244,1.0358504646280136,4.0736926358551955
494,25.576015977223655,1.0559454998655808,4.125394288973051
495,25.271699669700546,1.0096700672516052,4.1516213745609605
496,26.00488162642631,1.0204358839236585,4.172500319808984
497,26.180835736066175,1.0245607957005616,4.247252227860707
498,25.620793097858513,0.9775784080161634,4.237943826132284
499,24.264166796585002,0.9323399366996632,4.164174876824574
500,23.99594447073216,0.9228234470844315,4.128027414124166
501,23.85593801893086,0.9234834939633753,4.158786715751524
502,23.90734869855249,0.9551045846114782,4.149876305066727
